job_title,comapny,job_location,f_date,job_salary,job_url
ETL Developer,JANGOO TECHNOLOGIES,"Delhi, Delhi","Interested candidates may send their updated resume.
This job will on third party payroll with NTRO Delhi location near Noida.*.",13 days ago,14-11-20,"₹7,00,000 - ₹8,00,000 a year",https://in.indeed.com//company/Jangoo-Technologies/jobs/ETL-Developer-3f8ef604f1d65f12?fccid=194bb6581e6d5c64&vjs=3
Cluster Coordinator(Hadood cluster Administrator),JANGOO TECHNOLOGIES,"Delhi, Delhi","Skills : *Requirement of cluster Hadoop cluster Administrator for our client for Delhi location.
Well verse with Installation and configuration of Hadoop…",13 days ago,14-11-20,"₹7,00,000 - ₹8,00,000 a year",https://in.indeed.com//company/Jangoo-Technologies/jobs/Cluster-Coordinator-3a840712269bfab5?fccid=194bb6581e6d5c64&vjs=3
Trainee,Wipro Limited,"Delhi, Delhi","Job Description : Hadoop Developer 1.
The candidate must have sound knowledge of SQL and its core concepts.
Sound Knowledge of Unix Shell scripting 3.",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=3d6a16e6beec187b&fccid=8d25321c1defe73f&vjs=3
Technical Support / Network Engineer,Fluent Trade Technologies,"New Delhi, Delhi","We are inviting you to our highly talented team as a Network Engineer.
Any city in India, remote.
Fluent is an exclusive global boutique fintech software firm…",21 days ago,14-11-20,,https://in.indeed.com//company/Fluent-Trade-Technologies/jobs/Technical-Support-d118296007ea58a7?fccid=3d73248c93632d71&vjs=3
AI/ML Platform Engineer,SourceGain Consulting Pvt. Ltd.,"Delhi, Delhi",We're looking for an experienced engineer for the build and operation of AI-Platform-as-a-Service offering for our analytics and research communities.,18 days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=7694ec569523135d&fccid=f20e04c947d5de06&vjs=3
"Mgr, Software Development",IQVIA,"New Delhi, Delhi","Responsible for driving to ensure product development is completed on schedule, within budget and with prestigious quality ensuring development is completed on…",1 day ago,14-11-20,,https://in.indeed.com//rc/clk?jk=89ed9195474a6531&fccid=6b7a1dfe07e7f037&vjs=3
Hadoop- BiG data- TCS - NCR,Diverse Lynx India,"Delhi, Delhi","Having3+years of overall IT experience in Application Development inBigDataHadoop & Spark.
3.0years of extensive workingexperience on Hadoop framework and its…",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=46023ccd2fc38a20&fccid=f6ce40c91e89f80b&vjs=3
Backend Developer (1-2 years),Sentieo,"New Delhi, Delhi","Sentieo is powering the future of financial and corporate research in a $30B market.
Our vision is to create a world where competitive organizations have the…",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=ccc36b58b30fcc25&fccid=edf61cc3a19552f1&vjs=3
Data Science & Analytic,CODEC Networks,"Delhi, Delhi","1 to 2 years developing and implementing data analytics methodologies with good interpersonal with excellent communication skills.
Hands on Knowledge on Tools :",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=36b754a0f6c6d577&fccid=e4615befce7944b8&vjs=3
Delivery Manager,Coforge,"Delhi, Delhi",Job Description : Senior Manager - Machine Learning/Python (14-20 yrs) What you would do as a Senior AI Manager: - Work on the AI roadmap for various AI…,7 days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=763871bfd4c6672b&fccid=5e6e46282ff9fe8f&vjs=3
"Analyst, Insights and Diagnostics",Clinton Health Access Initiative,"New Delhi, Delhi","The Clinton Health Access Initiative, Inc. (CHAI) is a global health organization committed to saving lives and reducing the burden of disease in low-and middle…",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=bb9f7fd0863f2da9&fccid=86ea1b00191f0b54&vjs=3
Lead Data Strategy Analyst,Barclays,"Delhi, Delhi","Job Title: Lead Data Strategy Analyst.
The purpose of the role is the provision of data quality testing and data strategy support for RFT Technology.",30+ days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=7eb9f1532c54f308&fccid=057abf3fd357e717&vjs=3
AVP–Decision Analytics– General Insurance (9+ Years),Crescendo Global Services,"Delhi, Delhi",A leading company into operations management and analytics that helps businesses enhance growth and profitability in the face of relentless competition and…,12 days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=93587d0560c6c270&fccid=058a3fa778b3e79b&vjs=3
AVP–Decision Analytics– General Insurance (9+ Years),Crescendo Global,"Delhi, Delhi",A leading company into operations management and analytics that helps businesses enhance growth and profitability in the face of relentless competition and…,11 days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=9754779dd319bd54&fccid=058a3fa778b3e79b&vjs=3
Software Development Engineer II,Expedia Group,Delhi,"Our mission is to power reliable, trustworthy and scalable data products, that fuel decision-making and give a competitive advantage to Expedia Group.",14 days ago,14-11-20,,https://in.indeed.com//rc/clk?jk=681a639ce51cd6cd&fccid=160efb82f2462f14&vjs=3
